id,负责人,是否完成（无法完成备注）,function,question,prepareCode,runCode
1,嘉锋,,addColumn,"现有某物联网平台传感器采集表包含设备ID和读数两列，需对该表结构进行扩展:新增""温度单位""和""质量状态""两列，其中温度单位要求字符串类型，质量状态要求符号类型。已知原始传感器表变量名为sensorData，包含列[id, value]，请为其添加指定新列并将结果存入result。","sensorData = table(1..5 as id, rand(100.0,5) as value)","addColumn(sensorData, [""temperatureUnit"", ""status""], [STRING, SYMBOL])
result = sensorData"
2,嘉锋,,appendForJoin,"在股票交易场景中，某流处理引擎需要实时关联交易价格和成交量数据。左表包含时间戳、股票代码、价格字段（ts, symbol, price），右表包含时间戳、股票代码、成交量字段（ts, symbol, vol）。现需要将2023.01.01T09:30:00.001时刻的AMD股票价格数据（price=123.45）和相同时刻的成交量数据（vol=10000）注入处理引擎，如何获取包含价格、成交量和交易总额的实时计算结果？输入数据变量分别为leftData和rightData，输出结果存储在result变量。","leftTable = table(1:0, `ts`symbol`price, [TIMESTAMP, SYMBOL, DOUBLE])
rightTable = table(1:0, `ts`symbol`vol, [TIMESTAMP, SYMBOL, LONG])
outputTable = table(100:0, `ts`symbol`price`vol`amount, [TIMESTAMP, SYMBOL, DOUBLE, LONG, DOUBLE])

ejEngine = createEquiJoinEngine(
name=""tradeCalc"",
leftTable=leftTable,
rightTable=rightTable,
outputTable=outputTable,
metrics=<[price, vol, price*vol]>,
matchingColumn=`symbol,
timeColumn=`ts
)

leftData = table(2023.01.01T09:30:00.001 as ts, `AMD as symbol, 123.45 as price)
rightData = table(2023.01.01T09:30:00.001 as ts, `AMD as symbol, 10000 as vol)
","appendForJoin(ejEngine, true, leftData)
appendForJoin(ejEngine, false, rightData)
result = ejEngine.output
"
3,嘉锋,,bondCashflow,某投资者于2023年5月15日购入一张面值100元的贴现债券，到期日为2023年11月15日，采用实际/360日计数基准。请计算该债券的现金流分布，将结果存入result。输入数据格式:settlement为DATE类型2023.05.15，maturity为DATE类型2023.11.15，coupon数值型0.05，basis整型2。输出结果为单元素向量，数值为到期日支付的本金，赋值给变量result。,"settlement = 2023.05.15
maturity = 2023.11.15
coupon = 0.05
basis = 2
bondType = 1
","result = bondCashflow(settlement, maturity, coupon,, basis, bondType)
"
4,嘉锋,,brentq,"某5年期债券每年付息100元，到期偿还本金1000元，当前市场价格为950元。已知现值计算模型为函数f(y)，其中y为年化收益率。现需在区间[0.1, 0.15]内寻找使得f(y)=0的y值。输入数据函数f已定义为各期现金流现值之和减去市场价格，输出结果保存到变量result，格式为包含状态和根的向量。","def f(y) {
pv = 0.0
for (t in 1..5) {
pv += 100.0 / pow(1+y, t)
}
pv += 1000.0 / pow(1+y,5)
return pv - 950
}","result = brentq(f, 0.1, 0.15)"
5,嘉锋,,cdfNormal,某工厂设备的寿命服从正态分布，已知平均寿命为100小时，标准差为15小时。现需要计算设备在运行70小时之前发生故障的累积概率。输入数据已存储在变量mu（均值）、sigma（标准差）和x（时间点），均为标量数值。请编写代码计算结果并存入变量result。,"mu = 100
sigma = 15
x = 70
","result = cdfNormal(mu, sigma, x)
"
6,嘉锋,,cdfUniform,"某物联网设备的温度传感器正常工作温度区间为2℃到5℃，假设温度服从均匀分布。现有三个温度测量值2℃、3.5℃和4℃，计算它们的累积分布概率，结果保存到result。输入数据格式:向量x为[2.0, 3.5, 4.0]，输出数据格式:浮点数向量result。","
x = [2.0, 3.5, 4.0]
","
result = cdfUniform(2, 5, x)
"
7,嘉锋,,changePwd,"某量化交易平台用户需要将原有认证密钥从""Qwerty!2023""更新为符合最新安全规范的新密钥，新密钥必须满足以下条件:长度为10-18字符、至少包含一个大写字母和一个特殊符号“@”。假设旧密码存储在变量oldKey中，新密码存储在变量newKey中，请编写代码执行更新操作并将结果保存到变量result。","oldKey = ""Qwerty!2023""
newKey = ""N3wS@f3Key2024""","result = changePwd(oldKey, newKey)"
8,嘉锋,,conditionalIterate,假设有一个物联网传感器网络，每个传感器每分钟采集温度和湿度。当温度超过35度时，触发警报并记录此时的湿度值；否则，根据最近两次有效湿度值计算移动平均。现有传感器数据包含设备ID（sensor_id）、时间戳（ts）、温度（temp）和湿度（humidity），请生成带有计算结果列（result）的响应式处理逻辑。,"sensor_id = take([""S001"",""S002""],6)
ts = 2023.08.01T09:00:00 + 0..5 * 60
temp = [34.8, 35.2, 35.5, 34.9, 36.0, 34.7]
humidity = [62, 58, 61, 63, 59, 65]
sensorData = table(sensor_id, ts, temp, humidity)
","outputTable = keyedTable(`sensor_id)
engine = createReactiveStateEngine(
name=""sensorAlert"",
metrics=<conditionalIterate(temp > 35, humidity, mavg{,2})>, 
dummyTable=sensorData,
outputTable=outputTable,
keyColumn=`sensor_id
)
engine.append!(sensorData)
result = select * from outputTable
"
9,嘉锋,,countNanInf,某气象站采集了5组设备温度数据，其中部分传感器存在故障导致数值异常。温度数据以5行3列矩阵存储，变量名为tempData，数据格式为DOUBLE类型。需要统计整个矩阵中所有非正常数值的总数（包括无限大、非数以及缺失值），并将统计结果存入result变量。,"tempData = matrix(
1.23,  double(Inf), 25.8,
-5.6,  18.9,        double(nan),
NULL,  7.4,         33.3,
14.7,  double(Inf), NULL,
0.0,   22.1,        double(nan)
).reshape(5:3)
","result = countNanInf(tempData, true)
"
10,嘉锋,,createCrossSectionalAggregator,在实时股票分析场景中，需要同时计算每只证券的最新成交价和该品种所在分组的成交量均值。给定数据表包含字段:symbol(证券代码)，trade_time(时间戳)，price(价格)，volume(成交量)，表名t。请创建横截面聚合器，输出结果保存到result变量。,"t = table(    
`symbol`trade_time`price`volume,
[
`A`B`A`B,
09:30:00.000 09:30:00.005 09:30:00.010 09:30:00.015,
10.1, 20.2, 10.2, 20.3,
100, 200, 150, 250
],
[SYMBOL, TIMESTAMP, DOUBLE, INT]
)
","result = createCrossSectionalAggregator(
name=""csAggr"",
metrics=[<price>, avg(volume)],
dummyTable=t,
keyColumn=`symbol,
triggeringPattern=""perRow""
)

subscribeTable(tableName=""t"", actionName=""csEngine"", handler=append!{result}, msgAsTable=true)
"
